	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
52	-586.3000195883898	1000.0	388.0700130589264	586.3000195883898	164.2100391767794	-948.7400652946324	-586.3000195883898	388.07001305892646	388.0700130589265	388.0700130589264	-388.0700130589265	948.7400652946324	0.0	388.0700130589265	784.5300261178529	-215.46997388214697	-388.0700130589264	948.7400652946324	-948.7400652946324	-215.46997388214686	215.46997388214697	-215.46997388214714	8.39	388.07001305892663
53	-661.9116102405967	1000.0	338.0883897594034	661.9116102405967	14.265169278210125	-1000.0	-661.9116102405967	36.92033855642023	36.92033855642023	338.0883897594034	-36.92033855642023	1000.0	301.1680512029832	36.92033855642023	985.7348307217899	-14.26516927821011	-338.0883897594034	1000.0	-999.9999999999999	-14.265169278210237	14.26516927821011	-14.265169278210124	8.39	338.0883897594032
54	-566.3166560199743	1000.0	374.74777067998286	566.3166560199743	124.24331203994859	-882.1288533999143	-566.3166560199743	374.74777067998286	374.74777067998286	374.74777067998286	-374.74777067998286	882.1288533999143	0.0	374.74777067998286	757.8855413599657	-242.1144586400343	-374.74777067998286	882.1288533999143	-882.1288533999143	-242.11445864003417	242.1144586400343	-242.1144586400343	8.39	374.74777067998286
55	-302.9365	39.486519350135644	199.16099999999994	302.9365	557.9964806498643	-964.7084806498642	-302.9365	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	964.7084806498642	0.0	199.16099999999994	406.712	367.2254806498644	-199.16099999999994	964.7084806498642	-964.7084806498643	367.2254806498644	-367.2254806498644	367.2254806498643	8.39	199.16099999999994
56	-302.9365	109.78778943284287	199.16100000000006	302.9365	487.6952105671571	-894.4072105671571	-302.9365	199.161	199.161	199.16100000000006	-199.161	894.4072105671571	0.0	199.161	406.71200000000005	296.9242105671571	-199.16100000000006	894.4072105671571	-894.4072105671571	296.92421056715716	-296.9242105671571	296.92421056715716	8.39	199.16099999999994
57	-440.6173437478484	660.9260156217724	220.3086718739242	440.6173437478484	0.0	-660.9260156217724	-440.6173437478484	8.39	8.39	220.30867187392414	-8.39	660.9260156217724	211.91867187392415	8.39	660.9260156217724	0.0	-220.3086718739242	660.9260156217724	-660.9260156217724	0.0	0.0	0.0	8.39	220.30867187392414
58	-601.3132820431131	901.9699230646695	300.6566410215564	601.3132820431131	0.0	-901.9699230646695	-601.3132820431131	8.39	8.39	300.6566410215564	-8.39	901.9699230646695	292.2666410215565	8.39	901.9699230646695	0.0	-300.6566410215564	901.9699230646695	-901.9699230646695	0.0	0.0	0.0	8.39	300.6566410215566
59	-553.7290854946016	656.9922564838046	274.7670427473008	553.7290854946016	167.30887175809772	-1000.0	-553.7290854946016	0.0	0.0	274.7670427473008	0.0	1000.0	274.7670427473008	0.0	832.6911282419023	175.6988717580977	-274.7670427473008	1000.0	-999.9999999999999	175.69887175809777	-175.6988717580977	175.6988717580977	8.39	274.7670427473006
60	-587.272168827398	757.6215064821939	291.538584413699	587.272168827398	116.99424675890305	-1000.0	-587.272168827398	0.0	0.0	291.538584413699	0.0	1000.0	291.538584413699	0.0	883.005753241097	125.38424675890305	-291.538584413699	1000.0	-999.9999999999999	125.3842467589027	-125.38424675890305	125.38424675890303	8.39	291.538584413699
61	-380.25113342186705	158.82426684373456	199.16100000000029	380.25113342186705	438.6587331562662	-1000.0	-380.2511334218671	44.53173315626691	44.53173315626691	199.16100000000029	-44.53173315626691	1000.0	154.62926684373338	44.53173315626691	561.3412668437338	402.51699999999926	-199.16100000000029	1000.0	-999.9999999999999	402.51699999999937	-402.51699999999926	402.51699999999926	8.39	199.16099999999994
