,genes,T5T0_all2metab.log2FoldChange,T5T0_all2metab.padj,T24T0_all2metab.log2FoldChange,T24T0_all2metab.padj,U5U0_all2metab.log2FoldChange,U5U0_all2metab.padj,U24U0_all2metab.log2FoldChange,U24U0_all2metab.padj
1075,PA14_70730,-0.173778173,4.03E-05,-0.209534118,4.88E-07,0.073234001,0.194248471,0.075036637,0.290978262
1076,PA14_70810,-0.165432224,0.663226831,-0.42072789,0.141327908,0.11974341,0.836869357,0.133887433,0.923132543
1077,PA14_70830,0.279979203,0.137296485,0.333849395,0.065250203,0.225880699,0.304649978,-0.019177126,0.999076502
1078,PA14_70850,-0.239836139,0.770096062,0.217814394,0.815808972,0.080212281,0.963172231,-0.059093552,0.999076502
1079,PA14_70860,-1.272816958,0.032832447,-1.298466435,0.030898587,-0.368376984,0.755948087,0.065137958,0.999076502
1080,PA14_70920,0.021739852,0.950908529,0.053269746,0.88107158,0.327700669,0.081960232,0.321919386,0.175401825
1081,PA14_70940,0.332030432,0.68288042,0.276457442,0.770783889,0.342081469,0.754681391,0.531757751,0.644388723
1082,PA14_70950,-0.458477422,0.747144651,-0.546661591,0.703673134,0.171657522,0.952297733,-0.066862162,0.999076502
1083,PA14_70980,0.075206543,0.925231853,0.06246115,0.948594837,0.794203564,0.052427275,0.380569848,0.631955535
1084,PA14_71000,0.167659328,0.793371756,0.258625053,0.659035933,0.088721038,0.937941506,0.038857182,0.999076502
1085,PA14_71020,1.253570076,1.17E-05,1.11969561,0.000149194,1.024473855,0.000792549,0.254294002,0.768659159
1086,PA14_71030,-0.394073795,0.40065706,-0.343377821,0.500879639,-0.207643952,0.791483758,0.070832466,0.999076502
1087,PA14_71060,-0.118245205,0.608239144,0.036384021,0.924375152,0.340700686,0.050324106,0.130352975,0.767294932
1088,PA14_71140,-0.197513373,0.887490096,-0.142059979,0.936163548,0.730161489,0.50400562,-0.837119297,0.535854034
1089,PA14_71220,0.853745389,0.383991428,0.386220209,0.78264608,-0.064812364,0.980949782,-1.09098089,0.392015588
1090,PA14_71260,0.768444652,5.93E-06,0.647609392,0.00024548,1.288139537,2.96E-15,0.265632873,0.386964532
1091,PA14_71280,0.560015586,0.477976832,0.802959909,0.260915794,0.57235016,0.546465554,-0.405573264,0.84823086
1092,PA14_71410,0.323917675,0.513997924,0.414180366,0.38128289,1.482681589,1.84E-05,0.592360221,0.293266854
1093,PA14_71420,-2.150383256,0.049313732,-0.522400524,0.780091193,0.487937167,0.837930468,0.552792253,0.923132543
1094,PA14_71440,-1.136761009,0.090965751,-1.418880279,0.026868293,0.067349688,0.974234069,0.062467902,0.999076502
1095,PA14_71460,1.145511819,0.007191013,0.975827577,0.029379226,0.024823047,0.987060762,-0.187475775,0.964263947
1096,PA14_71470,-1.319511387,0.167773228,-0.178333978,0.931263951,-0.374511039,0.847906807,0.459614243,0.918624322
1097,PA14_71490,-0.792940555,0.622239696,0.106905649,0.971459406,0.609757021,0.800048113,1.103192621,0.64135292
1098,PA14_71500,0.79579582,5.38E-05,0.693584378,0.000693087,0.376271184,0.128617475,-0.043894311,0.999076502
1099,PA14_71510,-1.122960916,0.208306911,-0.549650761,0.64647188,0.021150512,0.992114881,0.086088219,0.999076502
1100,PA14_71530,-0.117744504,0.894311586,-0.206538393,0.805256305,-0.483267466,0.467099346,-0.19321616,0.965857721
1101,PA14_71560,0.461115995,0.013820411,0.351968651,0.081946028,0.811796319,3.16E-06,0.283099764,0.343871994
1102,PA14_71600,-0.650801227,0.157026709,-0.71974422,0.110166675,-0.315686366,0.674428701,-0.030167668,0.999076502
1103,PA14_71620,-0.53151228,0.22890895,0.107626785,0.896996614,-0.116695736,0.909770595,0.057506302,0.999076502
1104,PA14_71630,0.119778216,0.925599984,0.364121045,0.7154817,0.701312089,0.402423602,0.482785473,0.773462621
1105,PA14_71650,0.356775609,0.805293287,0.171555175,0.933732732,0.888845295,0.477348866,0.305576397,0.982483056
1106,PA14_71710,0.16914634,0.742968512,0.191933568,0.717285975,-0.104215484,0.905740204,0.036154539,0.999076502
1107,PA14_71720,0.513220721,0.028547179,0.421265682,0.091825764,0.761632308,0.000633698,0.636035983,0.021779789
1108,PA14_71740,-0.719890972,0.537015284,-0.806786284,0.491704827,-0.507214984,0.776295957,-0.19961778,0.999076502
1109,PA14_71800,0.107402337,0.79775169,0.165898689,0.666569127,0.390045854,0.186999387,0.405860746,0.27169316
1110,PA14_71910,-1.028443007,0.00010866,-1.017533453,0.000168857,0.471450854,0.165911069,0.601376353,0.118552447
1111,PA14_71920,-0.081686335,0.828915957,-0.041733175,0.937031204,0.868471601,1.37E-05,0.601610209,0.018416195
1112,PA14_71930,-0.211435242,0.459800702,-0.013804196,0.979311131,0.501375724,0.029751428,0.199042485,0.700452288
1113,PA14_71940,-0.020185853,0.954879291,0.09110738,0.763805904,0.194704621,0.430314489,0.142557057,0.760218937
1114,PA14_71960,-0.311553653,0.771200523,-0.471420206,0.635554331,2.070529921,0.001034436,1.22027243,0.181364288
1115,PA14_71970,-1.148180472,0.265872403,-1.27551343,0.206281827,-0.437027211,0.821685007,-0.43264345,0.929729572
1116,PA14_71990,0.103637268,0.959321585,-0.668930159,0.660262024,-0.292945952,0.913148688,-1.333163336,0.409967612
1117,PA14_72000,0.607514348,0.677557904,-0.147652874,0.951431168,-1.310678657,0.293016035,-1.176178765,0.509345135
1118,PA14_72170,-0.121817032,0.352908065,-0.169273033,0.159539615,0.09488874,0.590488975,0.059024164,0.913840904
1119,PA14_72280,0.505521342,0.039984454,0.589020854,0.014208453,-0.46805106,0.079015689,0.203081056,0.740028301
1120,PA14_72340,-0.6054156,0.394047167,-1.185041226,0.044579917,-0.350339476,0.759299264,0.077126135,0.999076502
1121,PA14_72510,-3.078278681,3.27E-08,-3.246172284,6.73E-09,-0.485845788,0.671108569,-0.067484172,0.999076502
1122,PA14_72550,0.070227111,0.834907388,0.074638612,0.836273711,0.096311496,0.817091618,0.168776671,0.70801577
1123,PA14_72580,1.448148963,0.005556173,1.43525695,0.006871849,-1.109304697,0.057515888,-1.526475177,0.016889986
1124,PA14_72590,0.339102901,0.068732131,0.215688446,0.318170143,0.5227838,0.002687683,0.240623723,0.417308377
1125,PA14_72620,0.259662956,0.743089209,0.154881436,0.882148385,-0.300353383,0.768552863,-0.407735322,0.757544301
1126,PA14_72630,0.880194198,0.322313138,0.689702743,0.489330175,2.835717928,3.53E-05,1.545033085,0.115451292
1127,PA14_72640,-0.458325659,0.552732163,0.267130271,0.793488754,-0.102181891,0.957691533,0.025309903,0.999076502
1128,PA14_72690,-0.236650701,0.861652826,-0.472870538,0.681716674,0.122672042,0.960258938,-0.363034041,0.928540342
1129,PA14_72780,0.287966173,0.042322266,0.183221083,0.264787597,0.000135541,0.999547511,0.110817537,0.769367436
1130,PA14_72850,0.528562888,0.447156722,-0.426583746,0.58883217,0.835770298,0.19746191,0.601533615,0.564913279
1131,PA14_72870,-0.299449231,0.174628746,-0.228327146,0.350639621,0.665062161,0.00040202,0.367460745,0.180257402
1132,PA14_72960,-0.107207445,0.707663589,-0.069803848,0.849201142,0.343698604,0.102091625,0.100003999,0.920062479
1133,PA14_73170,0.361808358,0.377288837,0.49486827,0.188286587,0.112259888,0.897614875,0.05400796,0.999076502
1134,PA14_73220,-0.0023668,0.992785881,0.111639634,0.52346282,-0.489575534,5.03E-05,0.156048768,0.493449509
1135,PA14_73230,-0.358581243,0.430670832,-0.148893309,0.826841461,-0.483490821,0.285208218,0.120727605,0.987365805
1136,PA14_73240,-0.77448446,0.2349663,-1.233644853,0.032749967,-0.29362164,0.810282521,-0.224811934,0.970583168
1137,PA14_73250,-0.160228059,0.377879029,-0.197453535,0.251696204,-0.377081582,0.010710895,0.055866499,0.978178474
1138,PA14_73260,-0.610315231,0.501238501,-0.473909089,0.653536522,-0.302052487,0.846397307,-0.454814821,0.851512342
1139,PA14_73280,-0.355160996,0.136260439,-0.383508455,0.102429311,-0.414121516,0.084135682,-0.024827525,0.999076502
1140,PA14_73290,0.01617342,0.961432942,-0.004617975,0.990447585,-0.330437439,0.05670285,0.093210288,0.897748038
1141,PA14_73300,-0.463254063,0.187144119,-0.605087534,0.065433923,-0.393183112,0.330789086,0.178859396,0.89917044
1142,PA14_73310,0.171310628,0.916650653,-0.214473166,0.90259306,-1.136869596,0.248544832,-0.540238534,0.845265555
1143,PA14_73320,1.127583612,0.058065933,1.156810653,0.051982018,-0.688608621,0.364002444,-0.385759933,0.845265555
