	rxn05312	rxn05318	rJB00267	rxn37440	rxn05560	rxn00615	rxn00148	rxn00786	rxn00134	rxn01492	rxn05581	rxn00097	rxn00747	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00082_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
29	975.050199599601	325.0167331998671	436.15231093315606	436.15231093315606	-218.07615546657803	-329.211733199867	218.07615546657803	-218.07615546657803	325.0167331998671	-218.07615546657803	329.211733199867	106.94057773328902	-218.07615546657803	765.364044133023	-645.8384663997341	218.07615546657803	-325.0167331998671	218.07615546657803	329.211733199867	-765.364044133023	-209.68615546657793	645.8384663997341	-218.07615546657803	-209.68615546657804	8.39	325.0167331998671
30	474.5501988011984	158.1833996003994	213.707866133866	213.707866133866	-106.853933066933	-162.3783996003994	106.853933066933	-106.853933066933	158.1833996003994	-106.853933066933	162.37839960039946	51.329466533466416	-106.853933066933	376.0862657342654	-312.171799200799	106.853933066933	-158.1833996003994	106.853933066933	162.37839960039946	-376.0862657342654	-98.46393306693284	312.171799200799	-106.853933066933	-98.46393306693301	8.39	158.18339960039958
31	762.2503504022027	254.08345013406756	341.5746001787568	341.5746001787568	-170.7873000893784	-258.2784501340676	170.7873000893784	-170.7873000893784	254.08345013406756	-170.7873000893784	258.2784501340676	83.2961500446892	-170.7873000893784	599.8530503128243	-503.9719002681352	170.7873000893784	-254.08345013406756	170.7873000893784	258.2784501340676	-599.8530503128243	-162.3973000893783	503.9719002681352	-170.7873000893784	-162.3973000893784	8.39	254.08345013406768
32	711.9998491989992	237.33328306633302	319.24104408844414	319.24104408844414	-159.62052204422207	-241.52828306633296	159.62052204422207	-159.62052204422207	237.33328306633302	-159.62052204422207	241.52828306633296	77.712761022111	-159.62052204422207	560.7693271547771	-470.4715661326662	159.62052204422207	-237.33328306633302	159.62052204422207	241.52828306633296	-560.7693271547771	-151.23052204422186	470.4715661326662	-159.62052204422207	-151.23052204422208	8.39	237.33328306633302
33	862.6006499997991	287.5335499999331	386.17473333324403	386.17473333324403	-193.08736666662202	-291.7285499999331	193.08736666662205	-193.08736666662202	287.5335499999331	-193.08736666662202	291.7285499999331	94.44618333331104	-193.08736666662202	677.9032833331771	-570.8720999998661	193.08736666662202	-287.5335499999331	193.08736666662202	291.7285499999331	-677.9032833331771	-184.69736666662197	570.8720999998661	-193.08736666662202	-184.69736666662197	8.39	287.53354999993303
34	262.5495496005999	87.51651653353338	119.48535537804446	119.48535537804446	-59.74267768902223	-91.71151653353331	59.74267768902223	-59.74267768902223	87.51651653353338	-59.74267768902223	91.71151653353331	27.773838844511108	-59.74267768902223	211.19687191157766	-170.8380330670667	59.74267768902223	-87.51651653353338	59.74267768902223	91.71151653353331	-211.19687191157766	-51.35267768902213	170.8380330670667	-59.74267768902223	-51.352677689022244	8.39	87.51651653353338
35	661.7495496006012	220.58318320020032	296.9075776002672	296.9075776002672	-148.4537888001336	-224.7781832002005	148.4537888001336	-148.4537888001336	220.58318320020032	-148.4537888001336	224.7781832002005	72.12939440006683	-148.4537888001336	521.6857608004676	-436.97136640040077	148.4537888001336	-220.58318320020032	148.4537888001336	224.7781832002005	-521.6857608004676	-140.06378880013358	436.97136640040077	-148.4537888001336	-140.06378880013358	8.39	220.58318320020027
36	787.400550001002	262.46685000033403	352.752466667112	352.752466667112	-176.376233333556	-266.66185000033397	176.376233333556	-176.376233333556	262.46685000033403	-176.376233333556	266.66185000033397	86.09061666677803	-176.376233333556	619.414316667446	-520.738700000668	176.376233333556	-262.46685000033403	176.376233333556	266.66185000033397	-619.414316667446	-167.98623333355613	520.738700000668	-176.376233333556	-167.98623333355602	8.39	262.4668500003339
37	812.5006500006008	270.83355000020026	363.9080666669336	363.9080666669336	-181.9540333334668	-275.02855000020037	181.9540333334668	-181.9540333334668	270.83355000020026	-181.9540333334668	275.0285500002003	88.87951666673345	-181.9540333334668	638.936616667134	-537.4721000004005	181.9540333334668	-270.83355000020026	181.9540333334668	275.0285500002003	-638.936616667134	-173.5640333334668	537.4721000004005	-181.9540333334668	-173.5640333334668	8.39	270.83355000020026
38	611.6998500006001	203.89995000020008	274.6632666669334	274.6632666669334	-137.3316333334667	-208.09495000020001	137.3316333334667	-137.3316333334667	203.89995000020008	-137.3316333334667	208.09495000020001	66.56831666673335	-137.3316333334667	482.7582166671334	-403.6049000004001	137.3316333334667	-203.89995000020008	137.3316333334667	208.09495000020001	-482.7582166671334	-128.9416333334667	403.6049000004001	-137.3316333334667	-128.9416333334667	8.39	203.89995000020008
