	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
44	-639.7764671070682	959.6647006606025	319.8882335535342	639.7764671070682	-959.6647006606025	-639.7764671070682	8.389999999999986	-8.389999999999986	8.389999999999986	319.8882335535342	959.6647006606025	311.4982335535342	8.389999999999986	959.6647006606025	8.389999999999986	-319.8882335535342	959.6647006606025	-959.6647006606025	8.39	319.8882335535342
45	-596.9411384490685	895.4117076736027	298.47056922453424	596.9411384490685	-895.4117076736027	-596.9411384490685	8.389999999999986	-8.389999999999986	8.389999999999986	298.47056922453424	895.4117076736027	290.08056922453426	8.389999999999986	895.4117076736027	8.389999999999986	-298.47056922453424	895.4117076736027	-895.4117076736027	8.39	298.47056922453424
46	-554.1058097910685	831.1587146866027	277.05290489553425	554.1058097910685	-831.1587146866027	-554.1058097910685	8.389999999999986	-8.389999999999986	8.389999999999986	277.05290489553425	831.1587146866027	268.66290489553427	8.389999999999986	831.1587146866027	8.389999999999986	-277.05290489553425	831.1587146866027	-831.1587146866027	8.39	277.05290489553425
47	-468.5418132130946	702.812719819642	234.27090660654733	468.5418132130946	-702.812719819642	-468.5418132130946	8.389999999999986	-8.389999999999986	8.389999999999986	234.27090660654733	702.812719819642	225.8809066065473	8.389999999999986	702.812719819642	8.389999999999986	-234.27090660654733	702.812719819642	-702.812719819642	8.39	234.27090660654733
48	-618.3372995287525	927.5059492931288	309.16864976437626	618.3372995287525	-927.5059492931288	-618.3372995287525	8.389999999999986	-8.389999999999986	8.389999999999986	309.16864976437626	927.5059492931288	300.77864976437627	8.389999999999986	927.5059492931288	8.389999999999986	-309.16864976437626	927.5059492931288	-927.5059492931288	8.39	309.16864976437626
49	-575.5019708707525	863.2529563061288	287.75098543537626	575.5019708707525	-863.2529563061288	-575.5019708707525	8.389999999999986	-8.389999999999986	8.389999999999986	287.75098543537626	863.2529563061288	279.3609854353763	8.389999999999986	863.2529563061288	8.389999999999986	-287.75098543537626	863.2529563061288	-863.2529563061288	8.39	287.75098543537626
50	-393.8791942002653	590.818791300398	196.93959710013266	393.8791942002653	-590.818791300398	-393.8791942002653	8.389999999999986	-8.389999999999986	8.389999999999986	196.93959710013266	590.818791300398	188.54959710013264	8.389999999999986	590.818791300398	8.389999999999986	-196.93959710013266	590.818791300398	-590.818791300398	8.39	196.93959710013263
51	-436.54352354226563	654.8152853133984	218.2717617711328	436.54352354226563	-654.8152853133984	-436.54352354226563	8.389999999999986	-8.389999999999986	8.389999999999986	218.2717617711328	654.8152853133984	209.88176177113277	8.389999999999986	654.8152853133984	8.389999999999986	-218.2717617711328	654.8152853133984	-654.8152853133984	8.39	218.27176177113276
52	-522.0431815422655	783.0647723133983	261.02159077113276	522.0431815422655	-783.0647723133983	-522.0431815422655	8.389999999999986	-8.389999999999986	8.389999999999986	261.02159077113276	783.0647723133983	252.63159077113275	8.389999999999986	783.0647723133983	8.389999999999986	-261.02159077113276	783.0647723133983	-783.0647723133983	8.39	261.02159077113276
53	-511.377141871095	767.0657128066425	255.68857093554752	511.377141871095	-767.0657128066425	-511.377141871095	8.389999999999986	-8.389999999999986	8.389999999999986	255.68857093554752	767.0657128066425	247.2985709355475	8.389999999999986	767.0657128066425	8.389999999999986	-255.68857093554752	767.0657128066425	-767.0657128066425	8.39	255.6885709355475
54	-425.8774838710948	638.8162258066423	212.93874193554743	425.8774838710948	-638.8162258066423	-425.8774838710948	8.389999999999986	-8.389999999999986	8.389999999999986	212.93874193554743	638.8162258066423	204.5487419355474	8.389999999999986	638.8162258066423	8.389999999999986	-212.93874193554743	638.8162258066423	-638.8162258066423	8.39	212.9387419355474
55	-383.21315452909465	574.819731793642	191.60657726454733	383.21315452909465	-574.819731793642	-383.21315452909465	8.389999999999986	-8.389999999999986	8.389999999999986	191.60657726454733	574.819731793642	183.2165772645473	8.389999999999986	574.819731793642	8.389999999999986	-191.60657726454733	574.819731793642	-574.819731793642	8.39	191.6065772645473
56	-330.01035254192317	495.0155288128848	165.0051762709616	330.01035254192317	-495.01552881288484	-330.01035254192317	8.389999999999986	-8.389999999999986	8.389999999999986	165.0051762709616	495.01552881288484	156.6151762709616	8.389999999999986	495.01552881288484	8.389999999999986	-165.0051762709616	495.01552881288484	-495.01552881288484	8.39	165.0051762709616
57	-404.5239017920938	606.7858526881406	202.26195089604687	404.5239017920938	-606.7858526881406	-404.5239017920938	8.389999999999986	-8.389999999999986	8.389999999999986	202.26195089604687	606.7858526881406	193.87195089604685	8.389999999999986	606.7858526881406	8.389999999999986	-202.26195089604687	606.7858526881406	-606.7858526881406	8.39	202.26195089604684
58	-447.1882311340939	670.7823467011408	223.59411556704694	447.1882311340939	-670.7823467011408	-447.1882311340939	8.389999999999986	-8.389999999999986	8.389999999999986	223.59411556704694	670.7823467011408	215.20411556704693	8.389999999999986	670.7823467011408	8.389999999999986	-223.59411556704694	670.7823467011408	-670.7823467011408	8.39	223.5941155670469
59	-351.27852080423884	526.9177812063583	175.63926040211945	351.27852080423884	-526.9177812063583	-351.27852080423884	8.389999999999986	-8.389999999999986	8.389999999999986	175.63926040211945	526.9177812063583	167.24926040211943	8.389999999999986	526.9177812063583	8.389999999999986	-175.63926040211945	526.9177812063583	-526.9177812063583	8.39	175.63926040211942
60	-340.6550601337515	510.98259020062727	170.32753006687577	340.6550601337515	-510.98259020062727	-340.6550601337515	8.389999999999986	-8.389999999999986	8.389999999999986	170.32753006687577	510.98259020062727	161.93753006687575	8.389999999999986	510.98259020062727	8.389999999999986	-170.32753006687577	510.98259020062727	-510.98259020062727	8.39	170.32753006687574
61	-532.6878891340937	799.0318337011405	266.34394456704683	532.6878891340937	-799.0318337011405	-532.6878891340937	8.389999999999986	-8.389999999999986	8.389999999999986	266.34394456704683	799.0318337011405	257.95394456704685	8.389999999999986	799.0318337011405	8.389999999999986	-266.34394456704683	799.0318337011405	-799.0318337011405	8.39	266.3439445670469
62	-361.88073455338537	542.821101830078	180.94036727669265	361.88073455338537	-542.821101830078	-361.88073455338537	8.389999999999986	-8.389999999999986	8.389999999999986	180.94036727669265	542.821101830078	172.55036727669264	8.389999999999986	542.821101830078	8.389999999999986	-180.94036727669265	542.821101830078	-542.821101830078	8.39	180.94036727669263
