	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
50	-454.3511057403862	900.3122114807722	300.1040704935906	454.3511057403862	-608.5981409871815	-454.3511057403862	300.10407049359077	300.10407049359077	300.10407049359077	-300.10407049359077	608.5981409871815	300.10407049359077	608.5981409871815	-291.7140704935908	-300.1040704935906	608.5981409871815	-608.5981409871815	-291.71407049359044	291.7140704935908	-291.7140704935907	8.39	300.10407049359077
51	-425.82008398992934	843.2501679798586	281.08338932661945	425.82008398992934	-570.556778653239	-425.82008398992934	281.0833893266195	281.0833893266195	281.0833893266195	-281.0833893266195	570.556778653239	281.0833893266195	570.556778653239	-272.6933893266195	-281.08338932661945	570.556778653239	-570.556778653239	-272.6933893266193	272.6933893266195	-272.6933893266196	8.39	281.0833893266195
52	-111.97564924038579	215.56129848077137	71.85376616025701	111.97564924038579	-152.09753232051423	-111.97564924038579	71.85376616025712	71.85376616025712	71.85376616025712	-71.85376616025712	152.09753232051423	71.85376616025712	152.09753232051423	-63.46376616025714	-71.85376616025701	152.09753232051423	-152.09753232051423	-63.46376616025697	63.46376616025714	-63.46376616025714	8.39	71.85376616025711
53	-197.22748028434194	386.0649605686839	128.6883201895613	197.22748028434194	-265.76664037912263	-197.22748028434194	128.68832018956132	128.68832018956132	128.68832018956132	-128.68832018956132	265.76664037912263	128.68832018956132	265.76664037912263	-120.29832018956134	-128.6883201895613	265.76664037912263	-265.76664037912263	-120.29832018956142	120.29832018956134	-120.29832018956128	8.39	128.68832018956138
54	-482.7682311964291	957.1464623928581	319.0488207976193	482.7682311964291	-646.4876415952388	-482.7682311964291	319.0488207976194	319.0488207976194	319.0488207976194	-319.0488207976194	646.4876415952388	319.0488207976194	646.4876415952388	-310.6588207976194	-319.0488207976193	646.4876415952388	-646.4876415952388	-310.6588207976191	310.6588207976194	-310.65882079761934	8.39	319.0488207976194
55	-97.76714334661466	187.14428669322922	62.381428897743035	97.76714334661466	-133.15285779548617	-97.76714334661466	62.38142889774308	62.38142889774308	62.38142889774308	-62.38142889774308	133.15285779548617	62.38142889774308	133.15285779548617	-53.99142889774308	-62.381428897743035	133.15285779548617	-133.15285779548617	-53.991428897742935	53.99142889774308	-53.99142889774305	8.39	62.38142889774307
56	-225.67307970009256	442.956159400185	147.65205313339493	225.67307970009256	-303.6941062667901	-225.67307970009256	147.65205313339501	147.65205313339501	147.65205313339501	-147.65205313339501	303.6941062667901	147.65205313339501	303.6941062667901	-139.26205313339497	-147.65205313339493	303.6941062667901	-303.6941062667901	-139.26205313339486	139.26205313339497	-139.26205313339494	8.39	147.65205313339504
57	-468.5880855938633	928.7861711877267	309.5953903959089	468.5880855938633	-627.5807807918178	-468.5880855938633	309.5953903959089	309.5953903959089	309.5953903959089	-309.5953903959089	627.5807807918178	309.5953903959089	627.5807807918178	-301.2053903959089	-309.5953903959089	627.5807807918178	-627.5807807918178	-301.20539039590903	301.2053903959089	-301.2053903959089	8.39	309.5953903959089
58	-211.4644601378197	414.53892027563916	138.17964009187972	211.4644601378197	-284.7492801837594	-211.4644601378197	138.17964009187972	138.17964009187972	138.17964009187972	-138.17964009187972	284.7492801837594	138.17964009187972	284.7492801837594	-129.78964009187973	-138.17964009187972	284.7492801837594	-284.7492801837594	-129.78964009187962	129.78964009187973	-129.78964009187973	8.39	138.17964009187972
59	-140.50667099084194	272.6233419816838	90.87444732722793	140.50667099084194	-190.13889465445584	-140.50667099084194	90.87444732722793	90.87444732722793	90.87444732722793	-90.87444732722793	190.13889465445584	90.87444732722793	190.13889465445584	-82.48444732722794	-90.87444732722793	190.13889465445584	-190.13889465445584	-82.48444732722791	82.48444732722794	-82.48444732722794	8.39	90.87444732722791
