	rJB00264	rxn08094	rxn05312	rxn05318	rJB00267	rxn00285	rxn13803	rxn05158	rxn00615	rxn13836	rxn00148	rJB00271	rxn05466	rxn05229	rxn05654	rxn10042	rxn09566	rxn00250	rxn00134	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
23	763.8474191645158	342.245191431149	884.6250248001508	628.2083416000503	605.1333465600802	-342.245191431149	-79.35703630221781	1000.0	-1000.0	884.6250248001508	628.2083416000503	158.71407260443561	-342.245191431149	-628.2083416000503	-342.245191431149	922.5614917689514	79.35703630221781	628.2083416000503	628.2083416000503	1000.0	628.2083416000503	158.71407260443561	0.0	628.2083416000503	342.245191431149	-79.35703630221781	79.35703630221781	-342.245191431149	342.245191431149	-628.2083416000503	342.245191431149	1000.0	-1000.0	-342.245191431149	342.245191431149	-342.245191431149	-884.6250248001508	342.245191431149	8.39	421.6022277333668	-884.6250248001508	884.6250248001508	628.2083416000502
24	752.2083877842573	351.9026417104903	1000.0	638.5054476442601	655.4021790577041	-351.9026417104903	-48.40310436327661	915.5163429327804	-1000.0	915.5163429327804	638.5054476442601	96.80620872655322	-351.9026417104903	-638.5054476442601	-351.9026417104903	849.0145965108105	48.40310436327661	638.5054476442601	638.5054476442601	1000.0	638.5054476442601	96.80620872655322	84.48365706721961	638.5054476442601	351.9026417104903	-48.40310436327661	48.40310436327661	-351.9026417104903	351.90264171049034	-638.5054476442601	351.9026417104903	1000.0	-1000.0	-351.9026417104903	351.9026417104903	-351.90264171049034	-915.5163429327804	351.9026417104903	8.39	400.3057460737669	-915.5163429327804	915.5163429327804	638.5054476442602
25	713.3590794776435	340.54105154534864	1000.0	622.012816759377	648.805126703751	-340.54105154534864	-32.276976386946274	866.0384502781308	-1000.0	866.0384502781309	622.012816759377	64.55395277389255	-340.5410515453486	-622.012816759377	-340.54105154534864	777.913032251536	32.276976386946274	622.012816759377	622.012816759377	1000.0	622.012816759377	64.55395277389255	133.96154972186923	622.012816759377	340.5410515453486	-32.276976386946274	32.276976386946274	-340.54105154534864	340.54105154534864	-622.012816759377	340.54105154534864	1000.0	-1000.0	-340.5410515453486	340.5410515453486	-340.54105154534864	-866.0384502781308	340.54105154534864	8.39	372.81802793229485	-866.0384502781309	866.0384502781309	622.0128167593773
26	817.1044407826804	364.46609371773206	951.4248764154648	650.4749588051549	640.7599340882477	-364.46609371773206	-88.1722533472163	1000.0	-951.4248764154648	1000.0	650.4749588051549	176.3445066944326	-364.46609371773206	-650.4749588051549	-364.46609371773206	993.448947477113	88.1722533472163	650.4749588051549	650.4749588051549	951.4248764154648	650.4749588051549	176.3445066944326	-48.57512358453519	650.4749588051549	364.46609371773206	-88.1722533472163	88.1722533472163	-364.46609371773206	364.466093717732	-650.4749588051549	364.46609371773206	951.4248764154648	-951.4248764154648	-364.46609371773206	364.46609371773206	-364.466093717732	-1000.0	364.46609371773206	8.39	452.63834706494833	-1000.0	1000.0	650.4749588051551
27	783.3600801067205	337.52006008004037	812.6003004002021	604.2001001334006	566.7201602134411	-337.52006008004037	-108.31995994663976	1000.0	-879.2701401867608	933.3301602134411	604.2001001334006	216.6399198932795	-337.52006008004037	-604.2001001334006	-337.52006008004037	1000.0	108.31995994663976	604.2001001334006	604.2001001334006	879.2701401867608	604.2001001334006	216.6399198932795	-120.72985981323916	604.2001001334006	337.52006008004037	-108.31995994663976	108.31995994663976	-337.52006008004037	337.5200600800404	-604.2001001334006	337.52006008004037	879.2701401867608	-879.2701401867608	-337.52006008004037	337.52006008004037	-337.5200600800404	-933.3301602134412	337.52006008004037	8.39	445.8400200266801	-933.3301602134411	933.3301602134411	604.2001001334006
28	790.0534133332803	342.54005999996025	837.7002999998015	612.5667666666005	580.1068266665607	-342.54005999996025	-104.97329333335983	1000.0	-890.9834733332407	946.7168266665609	612.5667666666005	209.94658666671967	-342.54005999996025	-612.5667666666005	-342.54005999996025	1000.0	104.97329333335983	612.5667666666005	612.5667666666005	890.9834733332407	612.5667666666005	209.94658666671967	-109.01652666675932	612.5667666666005	342.54005999996025	-104.97329333335983	104.97329333335983	-342.54005999996025	342.54005999996025	-612.5667666666005	342.54005999996025	890.9834733332407	-890.9834733332407	-342.54005999996025	342.54005999996025	-342.54005999996025	-946.7168266665608	342.54005999996025	8.39	447.5133533333201	-946.7168266665609	946.7168266665609	612.5667666666004
29	690.951032592435	323.2734976719687	905.3573952385998	600.0000000000007	602.1429580954398	-323.2734976719687	-44.40403724849759	894.6426047613994	-1000.0	799.999999999999	599.9999999999997	88.80807449699518	-323.2734976719687	-600.0000000000007	-323.2734976719687	779.7591070894302	44.40403724849759	599.9999999999997	599.9999999999997	1000.0	599.9999999999997	88.80807449699518	105.35739523860059	599.9999999999997	323.2734976719687	-44.40403724849759	44.40403724849759	-323.2734976719687	323.2734976719687	-599.9999999999997	323.2734976719687	1000.0	-1000.0	-323.2734976719687	323.2734976719687	-323.2734976719687	-800.0000000000018	323.2734976719687	8.39	367.6775349204663	-800.0000000000019	799.999999999999	600.0
30	818.1762874192534	369.5573652414534	987.5997003998001	662.5332334665999	660.05317354656	-369.5573652414534	-79.0615569363467	1000.0	-987.5997003997996	1000.0	662.5332334665999	158.1231138726934	-369.55736524145334	-662.5332334665999	-369.5573652414534	976.2994012919469	79.0615569363467	662.5332334665999	662.5332334665999	987.5997003997996	662.5332334665999	158.1231138726934	-12.400299600200356	662.5332334665999	369.55736524145334	-79.0615569363467	79.0615569363467	-369.5573652414534	369.55736524145334	-662.5332334665999	369.5573652414534	987.5997003997996	-987.5997003997996	-369.55736524145334	369.55736524145334	-369.55736524145334	-1000.0	369.5573652414534	8.39	448.6189221778	-1000.0	1000.0	662.5332334666001
31	801.3909214281761	366.2862128705043	1000.0	659.384825134603	663.7539300538411	-366.2862128705043	-68.81849568716747	978.1544754038091	-1000.0	978.1544754038092	659.384825134603	137.63699137433494	-366.2862128705043	-659.384825134603	-366.2862128705043	939.027912802511	68.81849568716747	659.384825134603	659.384825134603	1000.0	659.384825134603	137.63699137433494	21.8455245961909	659.384825134603	366.2862128705043	-68.81849568716747	68.81849568716747	-366.2862128705043	366.2862128705043	-659.384825134603	366.2862128705043	1000.0	-1000.0	-366.2862128705043	366.2862128705043	-366.2862128705043	-978.1544754038091	366.2862128705043	8.39	435.10470855767176	-978.1544754038092	978.1544754038092	659.3848251346031
32	680.8052238941063	323.99819829327805	937.9689231975151	600.0000000000007	615.1875692790062	-323.99819829327805	-32.808827307550075	862.0310768024847	-1000.0	800.0	600.0	65.61765461510015	-323.9981982932781	-600.0000000000007	-323.99819829327805	746.4228785092065	32.808827307550075	600.0	600.0	1000.0	600.0	65.61765461510015	137.96892319751532	600.0	323.9981982932781	-32.808827307550075	32.808827307550075	-323.99819829327805	323.99819829327816	-600.0	323.99819829327805	1000.0	-1000.0	-323.9981982932781	323.9981982932781	-323.99819829327816	-800.0000000000018	323.99819829327805	8.39	356.8070256008282	-800.0000000000019	800.0	600.0
