"","log2FC","p","condition","metab"
"N-carbamoylaspartate",4.52956697181343,0.006,"untreated_24-0","N-carbamoylaspartate"
"N-carbamoylserine",4.53926727345252,0.006,"untreated_24-0","N-carbamoylserine"
"N-delta-acetylornithine",2.6561590388771,0.88,"untreated_24-0","N-delta-acetylornithine"
"N-formylphenylalanine",5.06451155838391,0.000245,"untreated_24-0","N-formylphenylalanine"
"N-monomethylarginine",1.46596388549545,0.279,"untreated_24-0","N-monomethylarginine"
"N,N,N-trimethyl-5-aminovalerate",3.29728883806744,0.252,"untreated_24-0","N,N,N-trimethyl-5-aminovalerate"
"N2-acetyllysine",2.0871120220173,0.037,"untreated_24-0","N2-acetyllysine"
"N6-acetyllysine",0.538685303675971,0.982,"untreated_24-0","N6-acetyllysine"
"N6-carboxymethyllysine",-2.80921206866965,0.018,"untreated_24-0","N6-carboxymethyllysine"
"N6,N6,N6-trimethyllysine",2.76740397102552,0.13,"untreated_24-0","N6,N6,N6-trimethyllysine"
"nicotinate ribonucleoside",4.71264846843457,0.034,"untreated_24-0","nicotinate ribonucleoside"
"O-acetylhomoserine",7.94142248171532,0.00036,"untreated_24-0","O-acetylhomoserine"
"o-Tyrosine",1.88067023945618,0.103,"untreated_24-0","o-Tyrosine"
"ophthalmate",4.80409770813149,0.002,"untreated_24-0","ophthalmate"
"ornithine",2.78364842232299,0.209,"untreated_24-0","ornithine"
"orotate",6.42083463024594,0.000873,"untreated_24-0","orotate"
"oxalate (ethanedioate)",0.738737730182457,0.08,"untreated_24-0","oxalate (ethanedioate)"
"pantothenate",1.03881592466537,0.38,"untreated_24-0","pantothenate"
"phenylacetate",2.9834605901233,0.006,"untreated_24-0","phenylacetate"
"phenylalanylglycine",4.94764764611133,1.48e-05,"untreated_24-0","phenylalanylglycine"
"phenyllactate (PLA)",3.52686610828216,0.008,"untreated_24-0","phenyllactate (PLA)"
"phenylpyruvate",1.96737482600538,0.737,"untreated_24-0","phenylpyruvate"
"phosphate",0.902789067535158,0.000529,"untreated_24-0","phosphate"
"phosphoenolpyruvate (PEP)",2.4604696191294,0.282,"untreated_24-0","phosphoenolpyruvate (PEP)"
"pimelate (C7-DC)",1.87891801484662,0.065,"untreated_24-0","pimelate (C7-DC)"
"pipecolate",2.32064338754983,0.271,"untreated_24-0","pipecolate"
"proline",0.598624676654053,0.000218,"untreated_24-0","proline"
"pyridoxamine",-0.106484561854273,0.002,"untreated_24-0","pyridoxamine"
"pyridoxate",2.28897110243424,0.089,"untreated_24-0","pyridoxate"
"pyridoxine (Vitamin B6)",0.962237836338311,0.024,"untreated_24-0","pyridoxine (Vitamin B6)"
"pyrraline",0.72222173292325,0.63,"untreated_24-0","pyrraline"
"quinolinate",4.71844271618238,0.972,"untreated_24-0","quinolinate"
"ribonate",4.29917957795337,0.449,"untreated_24-0","ribonate"
"ribose",2.51599216176484,1.25e-06,"untreated_24-0","ribose"
"S-adenosylhomocysteine (SAH)",1.56073409919273,0.000378,"untreated_24-0","S-adenosylhomocysteine (SAH)"
"S-methylcysteine",3.04517458767537,9.32e-07,"untreated_24-0","S-methylcysteine"
"saccharopine",-0.793742242539793,0.147,"untreated_24-0","saccharopine"
"salicylate",2.05182579943755,0.000149,"untreated_24-0","salicylate"
"sedoheptulose-7-phosphate",0.583434458106617,0.914,"untreated_24-0","sedoheptulose-7-phosphate"
"serine",2.73193961835645,0.003,"untreated_24-0","serine"
"sulfate*",1.82901627909162,5.08e-05,"untreated_24-0","sulfate*"
"thioproline",-0.836010694205661,0.7,"untreated_24-0","thioproline"
"threonine",2.91071899204674,0.005,"untreated_24-0","threonine"
"threonylphenylalanine",3.82759709550605,0.00061,"untreated_24-0","threonylphenylalanine"
"thymidine",7.78954791393362,0.835,"untreated_24-0","thymidine"
"thymidine 5'-monophosphate",-4.23605295433582,0.302,"untreated_24-0","thymidine 5'-monophosphate"
"thymine",2.58059473362415,0.917,"untreated_24-0","thymine"
"trans-nonadecenoate (tr 19:1)*",-1.66452657098841,0.102,"untreated_24-0","trans-nonadecenoate (tr 19:1)*"
"trans-urocanate",3.04227055414892,0.753,"untreated_24-0","trans-urocanate"
"trehalose",-0.896094112716445,1.9e-05,"untreated_24-0","trehalose"
"trehalose 6-phosphate",-0.012093301431005,0.001,"untreated_24-0","trehalose 6-phosphate"
"tryptophylglycine",3.18948855176461,0.085,"untreated_24-0","tryptophylglycine"
"tyramine",1.53834001131908,0.009,"untreated_24-0","tyramine"
