	rxn10158	rxn05312	rxn05318	rxn05561	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
30	-331.31490706168773	654.2398141233755	218.07993804112516	331.3149070616878	-444.5498760822503	218.07993804112516	218.07993804112516	218.07993804112516	-218.07993804112516	444.5498760822503	218.07993804112516	444.5498760822503	-209.68993804112517	-218.07993804112516	444.5498760822503	-444.5498760822503	-209.68993804112515	209.68993804112517	-209.68993804112517	8.39	218.07993804112516
31	-346.5093680012196	684.6287360024393	228.20957866747975	346.5093680012196	-464.80915733495954	228.20957866747975	228.20957866747975	228.20957866747975	-228.20957866747975	464.80915733495954	228.20957866747975	464.80915733495954	-219.8195786674797	-228.20957866747975	464.80915733495954	-464.80915733495954	-219.81957866747976	219.8195786674797	-219.81957866747973	8.39	228.20957866747978
32	-356.74707112540557	705.1041422508112	235.03471408360372	356.74707112540557	-478.4594281672074	235.03471408360372	235.03471408360372	235.03471408360372	-235.03471408360372	478.4594281672074	235.03471408360372	478.4594281672074	-226.64471408360373	-235.03471408360372	478.4594281672074	-478.4594281672074	-226.64471408360376	226.64471408360373	-226.64471408360373	8.39	235.03471408360372
33	-428.0641765620927	847.7383531241854	282.57945104139515	428.0641765620927	-573.5489020827903	282.57945104139515	282.57945104139515	282.57945104139515	-282.57945104139515	573.5489020827903	282.57945104139515	573.5489020827903	-274.18945104139516	-282.57945104139515	573.5489020827903	-573.5489020827903	-274.18945104139516	274.18945104139516	-274.18945104139516	8.39	282.57945104139515
34	-397.5345704747557	786.6791409495115	262.2263803165038	397.5345704747557	-532.8427606330076	262.2263803165038	262.2263803165038	262.2263803165038	-262.2263803165038	532.8427606330076	262.2263803165038	532.8427606330076	-253.83638031650383	-262.2263803165038	532.8427606330076	-532.8427606330076	-253.83638031650383	253.83638031650383	-253.8363803165039	8.39	262.2263803165038
35	-377.1408208000807	745.8916416001614	248.6305472000538	377.1408208000807	-505.6510944001076	248.6305472000538	248.6305472000538	248.6305472000538	-248.6305472000538	505.6510944001076	248.6305472000538	505.6510944001076	-240.2405472000538	-248.6305472000538	505.6510944001076	-505.6510944001076	-240.24054720005392	240.2405472000538	-240.2405472000538	8.39	248.6305472000538
36	-184.2934170249188	360.19683404983766	120.06561134994588	184.29341702491877	-248.52122269989178	120.06561134994588	120.06561134994588	120.06561134994588	-120.06561134994588	248.52122269989178	120.06561134994588	248.52122269989178	-111.67561134994587	-120.06561134994588	248.52122269989178	-248.52122269989178	-111.6756113499459	111.67561134994587	-111.67561134994588	8.39	120.0656113499459
37	-387.3376548499189	766.2853096998379	255.42843656661262	387.33765484991886	-519.2468731332252	255.42843656661262	255.42843656661262	255.42843656661262	-255.42843656661262	519.2468731332252	255.42843656661262	519.2468731332252	-247.03843656661263	-255.42843656661262	519.2468731332252	-519.2468731332252	-247.0384365666126	247.03843656661263	-247.03843656661263	8.39	255.42843656661262
38	-478.885685612581	949.3813712251621	316.460457075054	478.885685612581	-641.310914150108	316.460457075054	316.460457075054	316.460457075054	-316.460457075054	641.310914150108	316.460457075054	641.310914150108	-308.07045707505404	-316.460457075054	641.310914150108	-641.310914150108	-308.07045707505404	308.07045707505404	-308.07045707505404	8.39	316.460457075054
39	-417.867260937256	827.3445218745119	275.78150729150394	417.867260937256	-559.9530145830079	275.78150729150394	275.78150729150394	275.78150729150394	-275.78150729150394	559.9530145830079	275.78150729150394	559.9530145830079	-267.39150729150396	-275.78150729150394	559.9530145830079	-559.9530145830079	-267.39150729150396	267.39150729150396	-267.391507291504	8.39	275.78150729150394
