	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn05209	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
21	-282.9194766706959	605.8379490997002	201.9459830332334	282.9194766706959	48.388995758308354	-412.2819660664668	-234.53048091238753	201.9459830332334	-48.388995758308354	201.9459830332334	201.9459830332334	-201.9459830332334	-48.388995758308354	-48.388995758308354	48.388995758308354	412.2819660664668	201.9459830332334	48.388995758308354	48.388995758308354	-48.388995758308354	412.2819660664668	-201.9459830332334	412.2819660664668	-412.2819660664668	-193.55598303323347	48.388995758308354	48.388995758308354	-193.55598303323336	-48.388995758308354	8.39	48.388995758308354	201.94598303323338
22	-368.8565641709713	793.3370491003011	264.4456830334337	368.8565641709713	64.01392075835842	-537.2813660668673	-304.84264341261286	264.4456830334337	-64.01392075835842	264.4456830334337	264.4456830334337	-264.4456830334337	-64.01392075835842	-64.01392075835842	64.01392075835842	537.2813660668673	264.4456830334337	64.01392075835842	64.01392075835842	-64.01392075835842	537.2813660668673	-264.4456830334337	537.2813660668673	-537.2813660668673	-256.05568303343375	64.01392075835842	64.01392075835842	-256.05568303343375	-64.01392075835842	8.39	64.01392075835842	264.4456830334337
23	-351.6348269456955	755.7623496996994	251.92078323323312	351.6348269456955	60.882695808308284	-512.2315664664662	-290.75213113738727	251.92078323323312	-60.882695808308284	251.92078323323312	251.92078323323312	-251.92078323323312	-60.882695808308284	-60.882695808308284	60.882695808308284	512.2315664664662	251.92078323323312	60.882695808308284	60.882695808308284	-60.882695808308284	512.2315664664662	-251.92078323323312	512.2315664664662	-512.2315664664662	-243.53078323323325	60.882695808308284	60.882695808308284	-243.53078323323314	-60.882695808308284	8.39	60.882695808308284	251.92078323323312
24	-300.07246444597047	643.2626497002992	214.42088323343307	300.07246444597047	51.50772080835827	-437.23176646686613	-248.5647436376122	214.42088323343307	-51.50772080835827	214.42088323343307	214.42088323343307	-214.42088323343307	-51.50772080835827	-51.50772080835827	51.50772080835827	437.23176646686613	214.42088323343307	51.50772080835827	51.50772080835827	-51.50772080835827	437.23176646686613	-214.42088323343307	437.23176646686613	-437.23176646686613	-206.0308832334331	51.50772080835827	51.50772080835827	-206.0308832334331	-51.50772080835827	8.39	51.50772080835827	214.42088323343307
25	-197.15357722097028	418.7123503002987	139.5707834334329	197.15357722097028	32.79519585835823	-287.5315668668658	-164.35838136261205	139.5707834334329	-32.79519585835823	139.5707834334329	139.5707834334329	-139.5707834334329	-32.79519585835823	-32.79519585835823	32.79519585835823	287.5315668668658	139.5707834334329	32.79519585835823	32.79519585835823	-32.79519585835823	287.5315668668658	-139.5707834334329	287.5315668668658	-287.5315668668658	-131.18078343343282	32.79519585835823	32.79519585835823	-131.1807834334329	-32.79519585835823	8.39	32.79519585835823	139.5707834334329
26	-385.97531444569637	830.6870496997012	276.89568323323374	385.97531444569637	67.12642080830844	-562.1813664664675	-318.84889363738796	276.89568323323374	-67.12642080830844	276.89568323323374	276.89568323323374	-276.89568323323374	-67.12642080830844	-67.12642080830844	67.12642080830844	562.1813664664675	276.89568323323374	67.12642080830844	67.12642080830844	-67.12642080830844	562.1813664664675	-276.89568323323374	562.1813664664675	-562.1813664664675	-268.50568323323375	67.12642080830844	67.12642080830844	-268.50568323323375	-67.12642080830844	8.39	67.12642080830844	276.89568323323374
27	-231.42545249542084	493.4873508991	164.49578363303334	231.42545249542084	39.02644590825834	-337.38156726606667	-192.39900658716252	164.49578363303334	-39.02644590825834	164.49578363303334	164.49578363303334	-164.49578363303334	-39.02644590825834	-39.02644590825834	39.02644590825834	337.38156726606667	164.49578363303334	39.02644590825834	39.02644590825834	-39.02644590825834	337.38156726606667	-164.49578363303334	337.38156726606667	-337.38156726606667	-156.10578363303335	39.02644590825834	39.02644590825834	-156.10578363303335	-39.02644590825834	8.39	39.02644590825834	164.49578363303334
28	-214.3067022206958	456.13735029969985	152.04578343323328	214.3067022206958	35.913945858308324	-312.48156686646655	-178.39275636238747	152.04578343323328	-35.913945858308324	152.04578343323328	152.04578343323328	-152.04578343323328	-35.913945858308324	-35.913945858308324	35.913945858308324	312.48156686646655	152.04578343323328	35.913945858308324	35.913945858308324	-35.913945858308324	312.48156686646655	-152.04578343323328	312.48156686646655	-312.48156686646655	-143.65578343323318	35.913945858308324	35.913945858308324	-143.6557834332333	-35.913945858308324	8.39	35.913945858308324	152.04578343323328
29	-317.22558944569596	680.6876496997004	226.89588323323346	317.22558944569596	54.62647080830837	-462.1817664664669	-262.5991186373876	226.89588323323346	-54.62647080830837	226.89588323323346	226.89588323323346	-226.89588323323346	-54.62647080830837	-54.62647080830837	54.62647080830837	462.1817664664669	226.89588323323346	54.62647080830837	54.62647080830837	-54.62647080830837	462.1817664664669	-226.89588323323346	462.1817664664669	-462.1817664664669	-218.5058832332336	54.62647080830837	54.62647080830837	-218.50588323323348	-54.62647080830837	8.39	54.62647080830837	226.89588323323343
30	-248.5101019462453	530.7629497008988	176.92098323363297	248.5101019462453	42.132745808408245	-362.2319664672659	-206.37735613783704	176.92098323363297	-42.132745808408245	176.92098323363297	176.92098323363297	-176.92098323363297	-42.132745808408245	-42.132745808408245	42.132745808408245	362.2319664672659	176.92098323363297	42.132745808408245	42.132745808408245	-42.132745808408245	362.2319664672659	-176.92098323363297	362.2319664672659	-362.2319664672659	-168.53098323363304	42.132745808408245	42.132745808408245	-168.53098323363292	-42.132745808408245	8.39	42.132745808408245	176.92098323363297
31	-433.32675649548924	933.9992868992492	311.3330956330831	433.32675649548924	75.73577390827077	-631.0561912661661	-357.5909825872185	311.3330956330831	-75.73577390827077	311.3330956330831	311.3330956330831	-311.3330956330831	-75.73577390827077	-75.73577390827077	75.73577390827077	631.0561912661661	311.3330956330831	75.73577390827077	75.73577390827077	-75.73577390827077	631.0561912661661	-311.3330956330831	631.0561912661661	-631.0561912661661	-302.9430956330831	75.73577390827077	75.73577390827077	-302.9430956330831	-75.73577390827077	8.39	75.73577390827077	311.3330956330831
32	-450.63487878354005	971.7624628004511	323.9208209334837	450.63487878354005	78.88270523337093	-656.2316418669674	-371.75217355016906	323.9208209334837	-78.88270523337093	323.9208209334837	323.9208209334837	-323.9208209334837	-78.88270523337093	-78.88270523337093	78.88270523337093	656.2316418669674	323.9208209334837	78.88270523337093	78.88270523337093	-78.88270523337093	656.2316418669674	-323.9208209334837	656.2316418669674	-656.2316418669674	-315.5308209334837	78.88270523337093	78.88270523337093	-315.5308209334837	-78.88270523337093	8.39	78.88270523337093	323.9208209334837
33	-330.1161285082647	708.8124621998503	236.27082073328344	330.1161285082647	56.97020518332086	-480.93164146656693	-273.1459233249438	236.27082073328344	-56.97020518332086	236.27082073328344	236.27082073328344	-236.27082073328344	-56.97020518332086	-56.97020518332086	56.97020518332086	480.93164146656693	236.27082073328344	56.97020518332086	56.97020518332086	-56.97020518332086	480.93164146656693	-236.27082073328344	480.93164146656693	-480.93164146656693	-227.88082073328337	56.97020518332086	56.97020518332086	-227.88082073328337	-56.97020518332086	8.39	56.97020518332086	236.27082073328347
34	-398.86585350826493	858.8118621998508	286.2706207332836	398.86585350826493	69.4701551833209	-580.9312414665671	-329.395698324944	286.2706207332836	-69.4701551833209	286.2706207332836	286.2706207332836	-286.2706207332836	-69.4701551833209	-69.4701551833209	69.4701551833209	580.9312414665671	286.2706207332836	69.4701551833209	69.4701551833209	-69.4701551833209	580.9312414665671	-286.2706207332836	580.9312414665671	-580.9312414665671	-277.88062073328365	69.4701551833209	69.4701551833209	-277.88062073328365	-69.4701551833209	8.39	69.4701551833209	286.2706207332836
35	-261.36640350826445	558.8130621998498	186.27102073328328	261.36640350826445	44.470255183320816	-380.9320414665666	-216.89614832494365	186.27102073328328	-44.470255183320816	186.27102073328328	186.27102073328328	-186.27102073328328	-44.470255183320816	-44.470255183320816	44.470255183320816	380.9320414665666	186.27102073328328	44.470255183320816	44.470255183320816	-44.470255183320816	380.9320414665666	-186.27102073328328	380.9320414665666	-380.9320414665666	-177.88102073328326	44.470255183320816	44.470255183320816	-177.8810207332832	-44.470255183320816	8.39	44.470255183320816	186.2710207332833
