	rxn10125	rxn13726	rxn00083	rxn00154	rxn00986	rxn00675	rxn05312	rxn05318	rxn00256	rxn10113	rxn00974	rxn00175	rxn00148	rxn10042	rxn12788	rxn00670	rxn00985	rxn00134	rxn13299	rxn13643	rxn00251	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	EX_cpd00331_e	ATPM	DM_cpd00002_c
20	-14.135316935948763	186.40380323138515	-14.135316935948763	186.40380323138515	-251.3350709751802	251.3350709751802	923.6290161569258	307.87633871897526	186.40380323138515	186.40380323138515	-186.40380323138515	-372.8076064627703	186.40380323138515	186.40380323138515	186.40380323138515	251.3350709751802	-251.3350709751802	307.87633871897526	121.47253548759011	121.47253548759011	186.40380323138515	-372.8076064627703	-737.2252129255406	93.20190161569258	-372.8076064627703	372.8076064627703	-307.87633871897526	372.8076064627703	-364.4176064627702	737.2252129255406	-93.20190161569258	-923.6290161569258	121.47253548759011	-186.40380323138515	8.39	307.87633871897526
21	-5.6564111973985876	84.65693436878306	-5.6564111973985876	84.65693436878306	-115.6725791583774	115.6725791583774	414.89467184391526	138.29822394797176	84.65693436878306	84.65693436878306	-84.65693436878306	-169.3138687375661	84.65693436878306	84.65693436878306	84.65693436878306	115.6725791583774	-115.6725791583774	138.29822394797176	53.6412895791887	53.6412895791887	84.65693436878306	-169.3138687375661	-330.23773747513223	42.32846718439153	-169.3138687375661	169.3138687375661	-138.29822394797176	169.3138687375661	-160.92386873756612	330.23773747513223	-42.32846718439153	-414.89467184391526	53.6412895791887	-84.65693436878306	8.39	138.29822394797174
22	-8.19702942238518	115.14435306862214	-8.19702942238518	115.14435306862214	-156.32247075816286	156.32247075816286	567.3317653431106	189.11058844770355	115.14435306862214	115.14435306862214	-115.14435306862214	-230.28870613724428	115.14435306862214	115.14435306862214	115.14435306862214	156.32247075816286	-156.32247075816286	189.11058844770355	73.96623537908144	73.96623537908144	115.14435306862214	-230.28870613724428	-452.1874122744885	57.57217653431107	-230.28870613724428	230.28870613724428	-189.11058844770355	230.28870613724428	-221.89870613724418	452.1874122744885	-57.57217653431107	-567.3317653431106	73.96623537908144	-115.14435306862214	8.39	189.11058844770358
23	-3.1259351609349038	54.29122193121884	-3.1259351609349038	54.29122193121884	-75.18496257495846	75.18496257495846	263.0661096560942	87.68870321869807	54.29122193121884	54.29122193121884	-54.29122193121884	-108.58244386243769	54.29122193121884	54.29122193121884	54.29122193121884	75.18496257495846	-75.18496257495846	87.68870321869807	33.39748128747923	33.39748128747923	54.29122193121884	-108.58244386243769	-208.77488772487538	27.14561096560942	-108.58244386243769	108.58244386243769	-87.68870321869807	108.58244386243769	-100.1924438624377	208.77488772487538	-27.14561096560942	-263.0661096560942	33.39748128747923	-54.29122193121884	8.39	87.68870321869807
24	-10.741028358848675	145.67234030618408	-10.741028358848675	145.67234030618408	-197.0264537415788	197.0264537415788	719.9717015309204	239.99056717697346	145.67234030618408	145.67234030618408	-145.67234030618408	-291.34468061236817	145.67234030618408	145.67234030618408	145.67234030618408	197.0264537415788	-197.0264537415788	239.99056717697346	94.3182268707894	94.3182268707894	145.67234030618408	-291.34468061236817	-574.2993612247363	72.83617015309204	-291.34468061236817	291.34468061236817	-239.99056717697346	291.34468061236817	-282.95468061236807	574.2993612247363	-72.83617015309204	-719.9717015309204	94.3182268707894	-145.67234030618408	8.39	239.99056717697349
25	-9.043897647398738	125.30677176878484	-9.043897647398738	125.30677176878484	-169.8723623583798	169.8723623583798	618.1438588439242	206.0479529479747	125.30677176878484	125.30677176878484	-125.30677176878484	-250.61354353756968	125.30677176878484	125.30677176878484	125.30677176878484	169.8723623583798	-169.8723623583798	206.0479529479747	80.74118117918991	80.74118117918991	125.30677176878484	-250.61354353756968	-492.8370870751394	62.65338588439242	-250.61354353756968	250.61354353756968	-206.0479529479747	250.61354353756968	-242.22354353756958	492.8370870751394	-62.65338588439242	-618.1438588439242	80.74118117918991	-125.30677176878484	8.39	206.04795294797478
26	-7.351848172398656	105.00217806878385	-7.351848172398656	105.00217806878385	-142.79957075837848	142.79957075837848	516.6208903439192	172.20696344797307	105.00217806878385	105.00217806878385	-105.00217806878385	-210.0043561375677	105.00217806878385	105.00217806878385	105.00217806878385	142.79957075837848	-142.79957075837848	172.20696344797307	67.20478537918925	67.20478537918925	105.00217806878385	-210.0043561375677	-411.61871227513535	52.501089034391924	-210.0043561375677	210.0043561375677	-172.20696344797307	210.0043561375677	-201.6143561375676	411.61871227513535	-52.501089034391924	-516.6208903439192	67.20478537918925	-105.00217806878385	8.39	172.2069634479731
27	-3.9711096494984703	64.43331579398165	-3.9711096494984703	64.43331579398165	-88.70775439197553	88.70775439197553	313.7765789699082	104.59219298996942	64.43331579398165	64.43331579398165	-64.43331579398165	-128.8666315879633	64.43331579398165	64.43331579398165	64.43331579398165	88.70775439197553	-88.70775439197553	104.59219298996942	40.15887719598776	40.15887719598776	64.43331579398165	-128.8666315879633	-249.3432631759266	32.216657896990824	-128.8666315879633	128.8666315879633	-104.59219298996942	128.8666315879633	-120.47663158796328	249.3432631759266	-32.216657896990824	-313.7765789699082	40.15887719598776	-64.43331579398165	8.39	104.59219298996942
28	-2.2807539109484054	44.14904693138076	-2.2807539109484054	44.14904693138076	-61.662062575174346	61.662062575174346	212.3552346569038	70.78507821896793	44.14904693138076	44.14904693138076	-44.14904693138076	-88.29809386276152	44.14904693138076	44.14904693138076	44.14904693138076	61.662062575174346	-61.662062575174346	70.78507821896793	26.636031287587176	26.636031287587176	44.14904693138076	-88.29809386276152	-168.20618772552302	22.07452346569038	-88.29809386276152	88.29809386276152	-70.78507821896793	88.29809386276152	-79.90809386276152	168.20618772552302	-22.07452346569038	-212.3552346569038	26.636031287587176	-44.14904693138076	8.39	70.78507821896793
29	-11.584515872385094	155.79419046862125	-11.584515872385094	155.79419046862125	-210.52225395816168	210.52225395816168	770.5809523431062	256.86031744770213	155.79419046862125	155.79419046862125	-155.79419046862125	-311.5883809372425	155.79419046862125	155.79419046862125	155.79419046862125	210.52225395816163	-210.52225395816168	256.86031744770213	101.06612697908082	101.06612697908082	155.79419046862125	-311.5883809372425	-614.7867618744849	77.89709523431063	-311.5883809372425	311.5883809372425	-256.86031744770213	311.5883809372425	-303.19838093724246	614.7867618744849	-77.89709523431063	-770.5809523431062	101.06612697908082	-155.79419046862125	8.39	256.8603174477021
