	rxn10125	rxn00083	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
32	-365.4856143433053	-365.4856143433053	-77.49013652073452	955.0516382488142	318.3505460829381	77.49013652073452	77.49013652073452	-645.0910921658761	318.3505460829381	-77.49013652073452	318.3505460829381	318.3505460829381	-318.3505460829381	-77.49013652073452	-77.49013652073452	77.49013652073452	645.0910921658761	318.3505460829381	77.49013652073452	77.49013652073452	-77.49013652073452	645.0910921658761	-318.3505460829381	645.0910921658761	-645.0910921658761	-309.9605460829381	77.49013652073452	77.49013652073452	-309.9605460829381	-77.49013652073452	8.39	77.49013652073452	318.3505460829381
33	-276.15610603776736	-276.15610603776736	-57.639134675059424	716.839616100713	238.94653870023765	57.639134675059424	57.639134675059424	-486.28307740047535	238.94653870023765	-57.63913467505944	238.94653870023765	238.94653870023765	-238.94653870023765	-57.63913467505944	-57.639134675059424	57.63913467505944	486.28307740047535	238.94653870023765	57.639134675059424	57.639134675059424	-57.639134675059424	486.28307740047535	-238.94653870023765	486.28307740047535	-486.28307740047535	-230.55653870023764	57.639134675059424	57.63913467505944	-230.55653870023764	-57.639134675059424	8.39	57.63913467505944	238.94653870023768
34	-354.3083154809826	-354.3083154809826	-75.00629232910725	925.245507949287	308.415169316429	75.00629232910725	75.00629232910725	-625.220338632858	308.415169316429	-75.00629232910725	308.415169316429	308.415169316429	-308.415169316429	-75.00629232910725	-75.00629232910725	75.00629232910725	625.220338632858	308.415169316429	75.00629232910725	75.00629232910725	-75.00629232910725	625.220338632858	-308.415169316429	625.220338632858	-625.220338632858	-300.025169316429	75.00629232910725	75.00629232910725	-300.025169316429	-75.00629232910725	8.39	75.00629232910725	308.415169316429
35	-187.09396228776728	-187.09396228776728	-37.84754717505939	479.34056610071275	159.78018870023757	37.84754717505939	37.84754717505939	-327.9503774004752	159.78018870023757	-37.84754717505939	159.78018870023757	159.78018870023757	-159.78018870023757	-37.84754717505939	-37.84754717505939	37.84754717505939	327.9503774004752	159.78018870023757	37.84754717505939	37.84754717505939	-37.84754717505939	327.9503774004752	-159.78018870023757	327.9503774004752	-327.9503774004752	-151.39018870023756	37.84754717505939	37.84754717505939	-151.39018870023756	-37.84754717505939	8.39	37.84754717505939	159.7801887002376
36	-320.7762400565175	-320.7762400565175	-67.55472001255946	835.8266401507135	278.6088800502378	67.55472001255946	67.55472001255946	-565.6077601004756	278.6088800502378	-67.55472001255947	278.6088800502378	278.6088800502378	-278.6088800502378	-67.55472001255947	-67.55472001255946	67.55472001255947	565.6077601004756	278.6088800502378	67.55472001255946	67.55472001255946	-67.55472001255946	565.6077601004756	-278.6088800502378	565.6077601004756	-565.6077601004756	-270.2188800502378	67.55472001255946	67.55472001255947	-270.2188800502379	-67.55472001255946	8.39	67.55472001255947	278.6088800502378
37	-298.5107931811612	-298.5107931811612	-62.60684292914694	776.4521151497631	258.81737171658773	62.60684292914694	62.60684292914694	-526.0247434331754	258.81737171658773	-62.60684292914694	258.81737171658773	258.81737171658773	-258.81737171658773	-62.60684292914694	-62.60684292914694	62.60684292914694	526.0247434331754	258.81737171658773	62.60684292914694	62.60684292914693	-62.60684292914693	526.0247434331754	-258.81737171658773	526.0247434331754	-526.0247434331754	-250.4273717165877	62.60684292914694	62.60684292914694	-250.42737171658771	-62.60684292914693	8.39	62.60684292914694	258.81737171658773
38	-331.9759383153578	-331.9759383153578	-70.0435418478573	865.6925021742875	288.5641673914292	70.0435418478573	70.0435418478573	-585.5183347828583	288.5641673914292	-70.0435418478573	288.5641673914292	288.5641673914292	-288.5641673914292	-70.0435418478573	-70.0435418478573	70.0435418478573	585.5183347828583	288.5641673914292	70.0435418478573	70.0435418478573	-70.0435418478573	585.5183347828583	-288.5641673914292	585.5183347828583	-585.5183347828583	-280.17416739142914	70.0435418478573	70.0435418478573	-280.17416739142914	-70.0435418478573	8.39	70.0435418478573	288.5641673914292
39	-343.1309271999114	-343.1309271999114	-72.52242826664698	895.4391391997638	298.4797130665879	72.52242826664698	72.52242826664698	-605.3494261331758	298.4797130665879	-72.52242826664698	298.4797130665879	298.4797130665879	-298.4797130665879	-72.52242826664698	-72.52242826664698	72.52242826664698	605.3494261331758	298.4797130665879	72.52242826664698	72.52242826664698	-72.52242826664698	605.3494261331758	-298.4797130665879	605.3494261331758	-605.3494261331758	-290.0897130665879	72.52242826664698	72.52242826664698	-290.08971306658793	-72.52242826664698	8.39	72.52242826664698	298.4797130665879
40	-287.35580429660774	-287.35580429660774	-60.12795651035727	746.7054781242873	248.9018260414291	60.12795651035727	60.12795651035727	-506.1936520828582	248.9018260414291	-60.12795651035727	248.9018260414291	248.9018260414291	-248.9018260414291	-60.12795651035727	-60.12795651035727	60.12795651035727	506.1936520828582	248.9018260414291	60.12795651035727	60.12795651035727	-60.12795651035727	506.1936520828582	-248.9018260414291	506.1936520828582	-506.1936520828582	-240.51182604142912	60.12795651035727	60.12795651035727	-240.51182604142912	-60.12795651035727	8.39	60.12795651035727	248.9018260414291
41	-142.56306853705476	-142.56306853705476	-27.951793008234393	360.5915160988127	120.19717203293757	27.951793008234393	27.951793008234393	-248.78434406587516	120.19717203293757	-27.951793008234393	120.19717203293757	120.19717203293757	-120.19717203293757	-27.951793008234393	-27.951793008234393	27.951793008234393	248.78434406587516	120.19717203293757	27.951793008234393	27.951793008234393	-27.951793008234393	248.78434406587516	-120.19717203293757	248.78434406587516	-248.78434406587516	-111.80717203293757	27.951793008234393	27.951793008234393	-111.80717203293753	-27.951793008234393	8.39	27.951793008234393	120.19717203293757
