	rxn05206	rxn05312	rxn05318	rxn00615	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05595	rxn05581	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
40	486.45045120019995	364.83783840014996	121.61261280004999	-251.6152256001	113.22261280004999	121.61261280004999	-121.61261280004999	121.61261280004999	121.61261280004999	-486.45045120019995	251.6152256001	121.61261280004999	251.6152256001	121.61261280004999	-121.61261280004999	251.6152256001	-251.6152256001	-113.22261280004997	8.39	-113.22261280004999	113.22261280004999	121.61261280004999
41	861.6986500014004	646.2739875010504	215.42466250035017	-439.2393250007003	207.03466250035018	215.42466250035017	-215.42466250035017	215.42466250035017	215.42466250035017	-861.6986500014004	439.2393250007003	215.42466250035017	439.2393250007003	215.42466250035017	-215.42466250035017	439.2393250007003	-439.2393250007003	-207.03466250035015	8.39	-207.03466250035018	207.03466250035018	215.4246625003501
42	836.6488504010001	627.48663780075	209.16221260025003	-426.71442520050005	200.77221260025004	209.16221260025003	-209.16221260025003	209.16221260025003	209.16221260025003	-836.6488504010001	426.71442520050005	209.16221260025003	426.71442520050005	209.16221260025003	-209.16221260025003	426.71442520050005	-426.71442520050005	-200.77221260025	8.39	-200.77221260025004	200.77221260025004	209.16221260025
43	561.499850801401	421.1248881010507	140.37496270035024	-289.13992540070046	131.98496270035025	140.37496270035024	-140.37496270035024	140.37496270035024	140.37496270035024	-561.499850801401	289.13992540070046	140.37496270035024	289.13992540070046	140.37496270035024	-140.37496270035024	289.13992540070046	-289.13992540070046	-131.98496270035025	8.39	-131.98496270035025	131.98496270035025	140.37496270035024
44	736.4492512009999	552.3369384007499	184.11231280024998	-376.61462560049995	175.72231280025	184.11231280024998	-184.11231280024998	184.11231280024998	184.11231280024998	-736.4492512009999	376.61462560049995	184.11231280024998	376.61462560049995	184.11231280024998	-184.11231280024998	376.61462560049995	-376.61462560049995	-175.72231280024994	8.39	-175.72231280025	175.72231280025	184.11231280024992
45	761.4990508014007	571.1242881010505	190.37476270035017	-389.13952540070034	181.9847627003502	190.37476270035017	-190.37476270035017	190.37476270035017	190.37476270035017	-761.4990508014007	389.13952540070034	190.37476270035017	389.13952540070034	190.37476270035017	-190.37476270035017	389.13952540070034	-389.13952540070034	-181.9847627003502	8.39	-181.9847627003502	181.9847627003502	190.37476270035017
46	686.4496512002002	514.8372384001501	171.61241280005004	-351.61482560010006	163.22241280005005	171.61241280005004	-171.61241280005004	171.61241280005004	171.61241280005004	-686.4496512002002	351.61482560010006	171.61241280005004	351.61482560010006	171.61241280005004	-171.61241280005004	351.61482560010006	-351.61482560010006	-163.22241280005005	8.39	-163.22241280005005	163.22241280005005	171.61241280005004
47	811.6491503998	608.7368627998501	202.91228759995005	-414.2145751999001	194.52228759995006	202.91228759995005	-202.91228759995005	202.91228759995005	202.91228759995005	-811.6491503998	414.2145751999001	202.91228759995005	414.2145751999001	202.91228759995005	-202.91228759995005	414.2145751999001	-414.2145751999001	-194.52228759995006	8.39	-194.52228759995006	194.52228759995006	202.91228759995
48	711.4495511998001	533.58716339985	177.86238779995003	-364.11477559990004	169.47238779995	177.86238779995003	-177.86238779995003	177.86238779995003	177.86238779995003	-711.4495511998001	364.11477559990004	177.86238779995003	364.11477559990004	177.86238779995003	-177.86238779995003	364.11477559990004	-364.11477559990004	-169.47238779995004	8.39	-169.47238779995	169.47238779995	177.86238779994997
49	511.45035119980025	383.5877633998502	127.86258779995006	-264.1151755999001	119.47258779995008	127.86258779995006	-127.86258779995006	127.86258779995006	127.86258779995006	-511.45035119980025	264.1151755999001	127.86258779995006	264.1151755999001	127.86258779995006	-127.86258779995006	264.1151755999001	-264.1151755999001	-119.47258779995008	8.39	-119.47258779995008	119.47258779995008	127.86258779995005
50	361.65115039899956	271.23836279924967	90.41278759974989	-189.21557519949977	82.02278759974989	90.41278759974989	-90.41278759974989	90.41278759974989	90.41278759974989	-361.65115039899956	189.21557519949977	90.41278759974989	189.21557519949977	90.41278759974989	-90.41278759974989	189.21557519949977	-189.21557519949977	-82.0227875997499	8.39	-82.02278759974989	82.02278759974989	90.41278759974988
51	461.45075119899985	346.0880633992499	115.36268779974998	-239.11537559949994	106.97268779974998	115.36268779974998	-115.36268779974998	115.36268779974998	115.36268779974998	-461.45075119899985	239.11537559949994	115.36268779974998	239.11537559949994	115.36268779974998	-115.36268779974998	239.11537559949994	-239.11537559949994	-106.97268779974996	8.39	-106.97268779974998	106.97268779974998	115.36268779974996
52	436.50095079860074	327.37571309895054	109.12523769965019	-226.64047539930039	100.73523769965018	109.12523769965019	-109.12523769965019	109.12523769965019	109.12523769965019	-436.50095079860074	226.64047539930039	109.12523769965019	226.64047539930039	109.12523769965019	-109.12523769965019	226.64047539930039	-226.64047539930039	-100.73523769965018	8.39	-100.73523769965018	100.73523769965018	109.1252376996502
53	286.90134919940033	215.17601189955025	71.72533729985007	-151.84067459970015	63.33533729985007	71.72533729985007	-71.72533729985007	71.72533729985007	71.72533729985007	-286.90134919940033	151.84067459970015	71.72533729985007	151.84067459970015	71.72533729985007	-71.72533729985007	151.84067459970015	-151.84067459970015	-63.335337299850096	8.39	-63.33533729985007	63.33533729985007	71.72533729985008
54	336.70134999860045	252.5260124989503	84.17533749965011	-176.7406749993002	75.78533749965011	84.17533749965011	-84.17533749965011	84.17533749965011	84.17533749965011	-336.70134999860045	176.7406749993002	84.17533749965011	176.7406749993002	84.17533749965011	-84.17533749965011	176.7406749993002	-176.7406749993002	-75.78533749965011	8.39	-75.78533749965011	75.78533749965011	84.1753374996501
55	636.500150798601	477.37511309895075	159.12503769965025	-326.6400753993005	150.73503769965026	159.12503769965025	-159.12503769965025	159.12503769965025	159.12503769965025	-636.500150798601	326.6400753993005	159.12503769965025	326.6400753993005	159.12503769965025	-159.12503769965025	326.6400753993005	-326.6400753993005	-150.73503769965026	8.39	-150.73503769965026	150.73503769965026	159.12503769965025
56	661.4499511990001	496.0874633992501	165.36248779975003	-339.11497559950004	156.97248779975	165.36248779975003	-165.36248779975003	165.36248779975003	165.36248779975003	-661.4499511990001	339.11497559950004	165.36248779975003	339.11497559950004	165.36248779975003	-165.36248779975003	339.11497559950004	-339.11497559950004	-156.97248779975007	8.39	-156.97248779975	156.97248779975	165.36248779974997
