	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
23	-374.7962818126871	-374.7962818126871	741.2025636253742	247.06752120845806	-502.5250424169161	247.06752120845806	247.06752120845806	247.06752120845806	-247.06752120845806	502.5250424169161	247.06752120845806	502.5250424169161	-238.67752120845807	-247.06752120845806	502.5250424169161	-502.5250424169161	-238.67752120845807	238.67752120845807	-238.67752120845807	8.39	247.06752120845806
24	-210.82828143731203	-210.82828143731203	413.26656287462407	137.75552095820802	-283.90104191641603	137.75552095820802	137.75552095820802	137.75552095820802	-137.75552095820802	283.90104191641603	137.75552095820802	283.90104191641603	-129.36552095820804	-137.75552095820802	283.90104191641603	-283.90104191641603	-129.36552095820804	129.36552095820804	-129.36552095820804	8.39	137.75552095820802
25	-281.0466568126869	-281.0466568126869	553.7033136253738	184.56777120845794	-377.52554241691587	184.56777120845794	184.56777120845794	184.56777120845794	-184.56777120845794	377.52554241691587	184.56777120845794	377.52554241691587	-176.17777120845795	-184.56777120845794	377.52554241691587	-377.52554241691587	-176.17777120845795	176.17777120845795	-176.1777712084579	8.39	184.56777120845794
26	-187.43784356193777	-187.43784356193777	366.4856871238755	122.1618957079585	-252.713791415917	122.1618957079585	122.1618957079585	122.1618957079585	-122.1618957079585	252.713791415917	122.1618957079585	252.713791415917	-113.77189570795848	-122.1618957079585	252.713791415917	-252.713791415917	-113.77189570795844	113.77189570795848	-113.77189570795849	8.39	122.1618957079585
27	-327.9685314369378	-327.9685314369378	647.5470628738756	215.84902095795854	-440.0880419159171	215.84902095795854	215.84902095795854	215.84902095795854	-215.84902095795854	440.0880419159171	215.84902095795854	440.0880419159171	-207.45902095795856	-215.84902095795854	440.0880419159171	-440.0880419159171	-207.45902095795861	207.45902095795856	-207.45902095795856	8.39	215.84902095795854
28	-234.2189064369378	-234.2189064369378	460.04781287387556	153.3492709579585	-315.088541915917	153.3492709579585	153.3492709579585	153.3492709579585	-153.3492709579585	315.088541915917	153.3492709579585	315.088541915917	-144.95927095795847	-153.3492709579585	315.088541915917	-315.088541915917	-144.95927095795844	144.95927095795847	-144.95927095795852	8.39	153.34927095795845
29	-164.09409318731264	-164.09409318731264	319.7981863746253	106.59939545820842	-221.58879091641685	106.59939545820842	106.59939545820842	106.59939545820842	-106.59939545820842	221.58879091641685	106.59939545820842	221.58879091641685	-98.20939545820843	-106.59939545820842	221.58879091641685	-221.58879091641685	-98.2093954582084	98.20939545820843	-98.20939545820845	8.39	106.59939545820842
30	-140.7970303134369	-140.7970303134369	273.2040606268738	91.06802020895792	-190.52604041791585	91.06802020895792	91.06802020895792	91.06802020895792	-91.06802020895792	190.52604041791585	91.06802020895792	190.52604041791585	-82.67802020895792	-91.06802020895792	190.52604041791585	-190.52604041791585	-82.67802020895795	82.67802020895792	-82.67802020895795	8.39	91.06802020895793
31	-498.26495999859276	-498.26495999859276	988.1399199971856	329.3799733323952	-667.1499466647904	329.3799733323952	329.3799733323952	329.3799733323952	-329.3799733323952	667.1499466647904	329.3799733323952	667.1499466647904	-320.9899733323952	-329.3799733323952	667.1499466647904	-667.1499466647904	-320.9899733323952	320.9899733323952	-320.98997333239527	8.39	329.3799733323952
32	-404.16325781296956	-404.16325781296956	799.9365156259391	266.6455052086464	-541.6810104172928	266.6455052086464	266.6455052086464	266.6455052086464	-266.6455052086464	541.6810104172928	266.6455052086464	541.6810104172928	-258.2555052086464	-266.6455052086464	541.6810104172928	-541.6810104172928	-258.2555052086464	258.2555052086464	-258.25550520864635	8.39	266.6455052086464
