	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
10	-691.1767237203334	1000.0	382.35344744066674	691.1767237203334	147.060342322	-920.1572372033334	-691.1767237203334	226.9031051186667	382.3534474406667	-382.3534474406667	382.3534474406667	382.3534474406667	920.1572372033334	0.0	382.3534474406667	773.0968948813334	382.3534474406667	-382.35344744066674	920.1572372033334	-920.1572372033334	-226.90310511866664	8.39	-226.9031051186667	226.9031051186667	382.35344744066657
11	-670.2638815302204	1000.0	340.52776306044075	670.2638815302204	21.583289181322005	-1000.0	-670.2638815302204	21.58328918132199	51.556578362644	-51.556578362644	51.556578362644	340.5277630604407	1000.0	288.9711846977967	51.556578362644	978.416710818678	51.556578362644	-340.52776306044075	1000.0	-1000.0	-21.583289181322016	8.39	-21.58328918132199	21.58328918132199	340.5277630604406
12	-686.8071755234464	1000.0	373.6143510468927	686.8071755234464	120.84305314067801	-1000.0	-686.8071755234464	120.843053140678	250.076106281356	-250.076106281356	250.076106281356	373.6143510468927	1000.0	123.53824476553666	250.076106281356	879.156946859322	250.076106281356	-373.6143510468927	1000.0	-1000.0	-120.84305314067797	8.39	-120.843053140678	120.843053140678	373.6143510468927
13	-678.5437919104463	1000.0	357.08758382089263	678.5437919104463	71.26275146267801	-1000.0	-678.5437919104463	71.262751462678	150.915502925356	-150.915502925356	150.915502925356	357.08758382089263	1000.0	206.17208089553665	150.915502925356	928.737248537322	150.915502925356	-357.08758382089263	1000.0	-1000.0	-71.26275146267801	8.39	-71.262751462678	71.262751462678	357.08758382089275
14	-695.0540323692203	1000.0	390.1080647384406	695.0540323692203	170.324194215322	-1000.0	-695.0540323692203	170.324194215322	349.038388430644	-349.038388430644	349.038388430644	390.10806473844065	1000.0	41.06967630779667	349.038388430644	829.675805784678	349.038388430644	-390.1080647384406	1000.0	-1000.0	-170.324194215322	8.39	-170.324194215322	170.324194215322	390.10806473844065
15	-452.5375089131229	588.9608481885382	316.1141696377076	452.5375089131229	359.3816607245847	-1000.0	-452.5375089131229	-51.65749108687709	316.1141696377076	-316.1141696377076	316.1141696377076	316.1141696377076	1000.0	0.0	316.1141696377076	640.6183392754153	316.1141696377076	-316.1141696377076	1000.0	-1000.0	51.657491086877144	8.39	51.65749108687709	-51.65749108687709	316.1141696377076
16	-340.38485827538716	456.6431443671829	224.12657218359152	340.38485827538716	215.73657218359148	-672.3797165507744	-340.38485827538716	0.0	224.12657218359146	-224.12657218359146	224.12657218359146	224.1265721835915	672.3797165507744	0.0	224.12657218359146	456.64314436718297	224.12657218359146	-224.12657218359152	672.3797165507744	-672.3797165507744	0.0	8.39	0.0	0.0	224.1265721835914
17	-396.330886348713	531.2378484649506	261.4239242324753	396.330886348713	253.03392423247533	-784.271772697426	-396.330886348713	0.0	261.4239242324753	-261.4239242324753	261.4239242324753	261.4239242324753	784.271772697426	0.0	261.4239242324753	531.2378484649506	261.4239242324753	-261.4239242324753	784.271772697426	-784.271772697426	0.0	8.39	0.0	0.0	261.4239242324753
18	-185.2997457788883	143.56457629814724	227.03491525962943	185.2997457788883	537.5401694807412	-1000.0	-185.2997457788883	-318.8952542211117	227.03491525962943	-227.03491525962943	227.03491525962943	227.03491525962943	1000.0	0.0	227.03491525962943	462.45983051925884	227.03491525962943	-227.03491525962943	1000.0	-1000.0	318.8952542211116	8.39	318.8952542211117	-318.8952542211117	227.03491525962943
19	-292.3658148154749	322.00802469245815	262.7236049384917	292.3658148154749	466.16279012301675	-1000.0	-292.3658148154749	-211.8291851845251	262.72360493849163	-262.72360493849163	262.72360493849163	262.72360493849163	1000.0	0.0	262.72360493849163	533.8372098769833	262.72360493849163	-262.7236049384917	1000.0	-1000.0	211.8291851845251	8.39	211.8291851845251	-211.8291851845251	262.7236049384915
20	-176.90979723330003	144.70054446660004	209.11905000000047	176.90979723330003	482.6566055334	-1000.0	-176.90979723330003	-372.6428499999988	118.40375553340004	-118.40375553340004	118.40375553340004	209.11905000000047	1000.0	90.71529446659997	118.40375553340004	517.3433944666	118.40375553340004	-209.11905000000013	1000.0	-1000.0	372.64284999999927	8.39	372.6428499999995	-372.6428499999995	209.11904999999996
21	-392.71242416143787	576.305798322876	209.11905000000047	392.71242416143787	51.05135167712359	-477.67945167712327	-392.71242416143787	149.67769832287632	209.1190499999998	-209.11904999999985	209.11904999999985	209.11905000000047	477.67945167712327	0.0	209.11904999999985	426.6281000000005	209.11904999999985	-209.11905000000013	477.6794516771233	-477.67945167712327	-149.67769832287627	8.39	-149.67769832287632	149.67769832287632	209.11904999999996
22	-346.47422821496167	483.8294064299233	209.11905000000047	346.47422821496167	143.5277435700766	-570.1558435700766	-346.47422821496167	57.20130642992342	209.11905000000002	-209.11905000000002	209.11905000000002	209.11905000000047	570.1558435700766	0.0	209.11905000000002	426.6281000000005	209.11905000000002	-209.11905000000013	570.1558435700766	-570.1558435700766	-57.20130642992331	8.39	-57.20130642992342	57.20130642992342	209.11904999999996
23	-399.2181791234457	500.0952985390761	298.34105970781525	399.2181791234457	394.9278805843695	-1000.0	-399.2181791234457	-104.9768208765545	298.34105970781513	-298.34105970781513	298.34105970781513	298.3410597078152	1000.0	0.0	298.34105970781513	605.0721194156305	298.34105970781513	-298.34105970781525	1000.0	-1000.0	104.97682087655437	8.39	104.9768208765545	-104.9768208765545	298.34105970781536
24	-587.8526116318096	842.3718899302856	333.33333333333337	587.8526116318096	157.62811006971435	-1000.0	-587.8526116318096	0.0	166.01811006971434	-166.01811006971434	166.01811006971434	333.33333333333337	1000.0	167.315223263619	166.01811006971434	842.3718899302856	166.01811006971434	-333.33333333333337	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.3333333333335
25	-511.62183723774854	689.9103411421637	333.33333333333326	511.62183723774854	310.0896588578363	-1000.0	-511.62183723774854	0.0	318.4796588578363	-318.4796588578363	318.4796588578363	333.3333333333333	1000.0	14.85367447549705	318.4796588578363	689.9103411421637	318.4796588578363	-333.33333333333326	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.33333333333354
