	rJB00264	rxn00781	rxn05312	rxn05318	rxn10113	rJB00267	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn05581	rxn00459	rxn00097	rxn00747	rxn01106	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00020_e	rxn05469	ATPM	DM_cpd00002_c
10	203.98673973539758	203.98673973539758	1000.0	405.87597947079513	203.98673973539758	203.98673973539758	203.98673973539758	217.62793841238548	-627.6989178831807	203.98673973539758	203.98673973539758	-203.98673973539758	405.87597947079513	627.6989178831807	203.98673973539758	201.88923973539755	-203.98673973539758	-203.98673973539758	614.0577192061928	-793.9157602646023	203.98673973539758	-405.87597947079513	627.6989178831807	-831.6856576185783	-181.95554105840966	793.9157602646023	-203.98673973539758	-385.9422807938072	203.98673973539758	-203.98673973539758	8.39	405.87597947079524
11	149.94202486683875	149.94202486683875	893.3596492010328	297.7865497336776	149.94202486683875	149.94202486683875	149.94202486683875	0.0	-301.98154973367775	149.94202486683875	149.94202486683875	-149.94202486683875	297.7865497336776	301.98154973367775	149.94202486683875	147.84452486683884	-149.94202486683875	-149.94202486683875	451.9235746005165	-741.3201243341938	149.94202486683875	-297.7865497336776	301.98154973367775	-451.9235746005165	-291.4940497336778	741.3201243341938	-149.94202486683875	-441.43607460051624	149.94202486683875	-149.94202486683875	8.39	297.7865497336776
12	214.26091915704137	214.26091915704134	1000.0	426.4243383140827	214.26091915704134	214.26091915704137	214.26091915704134	279.2730149422482	-709.8923532563309	214.26091915704134	214.26091915704137	-214.26091915704134	426.4243383140827	709.8923532563309	214.26091915704134	212.16341915704137	-214.26091915704134	-214.26091915704134	644.8802574711241	-783.6415808429585	214.26091915704137	-426.4243383140827	709.8923532563309	-924.1532724133723	-140.8588233718346	783.6415808429585	-214.26091915704137	-355.1197425288759	214.26091915704134	-214.26091915704134	8.39	426.42433831408266
13	154.08194143210605	154.08194143210605	382.542472888955	306.0663828642122	154.08194143210605	154.08194143210605	154.08194143210605	535.6566757036816	-845.9180585678939	154.08194143210605	154.08194143210605	-154.08194143210605	306.0663828642122	845.9180585678939	154.08194143210605	151.98444143210614	-154.08194143210605	-154.08194143210605	464.34332429631843	-226.36303145684872	154.08194143210605	-306.0663828642122	845.9180585678939	-1000.0	235.8827928394694	226.36303145684872	-154.08194143210605	81.80085140736344	154.08194143210605	-154.08194143210605	8.39	306.0663828642123
14	191.24227847836497	191.24227847836497	716.9855063052847	380.3870569567299	191.24227847836497	191.24227847836497	191.24227847836497	424.1756645649051	-808.7577215216351	191.24227847836497	191.24227847836497	-191.24227847836497	380.3870569567299	808.7577215216351	191.24227847836497	189.14477847836497	-191.24227847836497	-191.24227847836497	575.8243354350949	-523.6457278269197	191.24227847836497	-380.3870569567299	808.7577215216351	-1000.0	50.0811076081751	523.6457278269197	-191.24227847836497	-141.16117087018984	191.24227847836497	-191.24227847836497	8.39	380.38705695672996
15	163.67150734186936	163.67150734186936	493.11202202560804	325.24551468373875	163.67150734186936	163.67150734186936	163.67150734186936	482.6245220256081	-812.0650367093467	163.67150734186936	163.67150734186936	-163.67150734186936	325.24551468373875	812.0650367093467	163.67150734186936	161.5740073418694	-163.67150734186936	-163.67150734186936	493.11202202560804	-327.3430146837387	163.67150734186936	-325.24551468373875	812.0650367093467	-975.736544051216	163.6715073418693	327.3430146837387	-163.67150734186936	0.0	163.67150734186936	-163.67150734186936	8.39	325.2455146837386
16	139.57348958333336	139.57348958333336	598.6049684236918	277.0494791666667	139.57348958333336	139.57348958333336	139.57348958333336	232.54346907630838	-513.7879482429751	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	513.7879482429751	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-456.9339788403584	139.5734895833334	-277.0494791666671	513.7879482429751	-653.3614378263085	-38.21351009035834	456.9339788403584	-139.5734895833334	-177.7869996736917	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
17	146.84222395956837	146.8422239595684	317.3850156361156	291.5869479191368	146.8422239595684	146.84222395956837	146.8422239595684	557.3758281212948	-853.1577760404316	146.8422239595684	146.84222395956837	-146.8422239595684	291.5869479191368	853.1577760404316	146.8422239595684	144.74472395956838	-146.8422239595684	-146.8422239595684	442.62417187870517	-168.4452916765471	146.8422239595684	-291.5869479191368	853.1577760404316	-1000.0	272.08138020215796	168.4452916765471	-146.8422239595684	125.2391562425895	146.8422239595684	-146.8422239595684	8.39	291.5869479191367
18	195.2555355956107	195.25553559561078	1000.0	388.4135711912215	195.25553559561078	195.2555355956107	195.25553559561078	165.24071357366435	-557.8492847648856	195.25553559561078	195.2555355956107	-195.25553559561078	388.4135711912215	557.8492847648856	195.25553559561078	193.1580355956107	-195.25553559561078	-195.25553559561078	587.864106786832	-802.6469644043895	195.25553559561075	-388.4135711912215	557.8492847648856	-753.1048203604964	-216.88035761755697	802.6469644043895	-195.25553559561075	-412.13589321316795	195.25553559561078	-195.25553559561078	8.39	388.4135711912214
19	212.45193108712147	212.45193108712147	907.8723797840931	422.8063621742429	212.45193108712147	212.45193108712147	212.45193108712147	360.54670673863563	-787.5480689128786	212.45193108712147	212.45193108712147	-212.45193108712147	422.8063621742429	787.5480689128786	212.45193108712147	210.35443108712144	-212.45193108712147	-212.45193108712147	639.4532932613644	-693.3229486969717	212.45193108712147	-422.8063621742429	787.5480689128786	-1000.0	-55.96715543560725	693.3229486969717	-212.45193108712147	-268.4190865227288	212.45193108712147	-212.45193108712147	8.39	422.80636217424313
